business_id,cool,date,funny,review_id,stars,type,useful,user_id
1A-W9AWb4sEESvusqf8NIw,1,2015-12-09,1,JJhmKZmfs8hcuYjYeKtUJA,4,review,0,j55llTI5f_Xth68rqJpqUQ
-WgUeWBmBR6l_6RFEPzzaw,0,2012-08-31,0,dDUVe8JTBuJWuyNOegMgIg,5,review,0,V7uS5US4oTf-S9u36HJQCQ
-WgUeWBmBR6l_6RFEPzzaw,0,2009-11-29,0,PO1843yZajvZeGHZJzqsDQ,5,review,0,rnfgjemszUlQx6U_-PO63w
0Q0v-eDzWtaySg7cbVi0yg,1,2014-07-28,1,k36YNAuMdttMFOps9mF51w,5,review,3,BjtJ3VkMOxV2Lan037AFuw
0Q0v-eDzWtaySg7cbVi0yg,0,2014-02-06,1,hch40TDCwhIYX72Gzg46bw,5,review,0,pr8_C12oHakeNB4ZPp_dig
0Q0v-eDzWtaySg7cbVi0yg,0,2015-12-15,0,Es-GsGc4fh0V87wKCuyiAg,2,review,1,g3V76Ja0XgWS1rqx0gxL_A
5-RN8e3qsBfYSFh08nqvbQ,0,2014-11-25,0,GY5DXbU3kXRldr8KvfxoKQ,3,review,0,ZJlNrE2Z_i_-6IKeciRO7g
5-RN8e3qsBfYSFh08nqvbQ,2,2015-08-31,1,eowBnG2LKaSO8qw8fMefRA,3,review,1,d0D7L-vfQDIADolnPAcb9A
7laMR-BRYEqBv8oWexxkKw,4,2016-07-25,1,uHru9P87vAcS8dDqdtaxHw,4,review,4,fp6wXrr5r3poOg6YhL4yvQ
7laMR-BRYEqBv8oWexxkKw,1,2015-01-12,1,xUooiEVLkLCUrZWMLR8J0g,3,review,3,wULTnUZQ2Y4VP5lE0YzWSg
CxxAzUN3J38UTZB6MyGB3Q,0,2013-06-05,0,KSeC-1m-5WuBhf_U_S_kxA,1,review,1,iH_fFp5HO4DI1DmZM4vQcA
CxxAzUN3J38UTZB6MyGB3Q,0,2012-09-18,0,_uQVEddQU6MWH1BjKbzzqA,1,review,1,fhAk9y00oF5yvXwn8gl3JQ
CxxAzUN3J38UTZB6MyGB3Q,0,2014-06-23,0,WVJrv3sb6rq4Px2rKiCThA,1,review,0,RQuZ6u6DlUUXkyrqoLIzng
HWrbZS1mxVRj2Y2VwMmDMg,0,2014-08-21,0,Ul1wErq-ltzir08P3NVkwg,5,review,0,TsBUWbhRhuiEMXb56kL0Cg
HWrbZS1mxVRj2Y2VwMmDMg,1,2014-10-01,0,VKFvgIkuco7wyMNtF3mQ_Q,3,review,1,PD3X7S70zXHeOx1NjeicjQ
KR89_v-jKxf4_l8h8k4jyQ,3,2011-01-10,4,l8GK5EGtc6QRJhnfL-UAtw,4,review,3,UtkjXTiMfGRz4R1zDF3Kxg
KR89_v-jKxf4_l8h8k4jyQ,11,2014-03-16,12,tvlOnDsb41dmx0Am3NFR5g,4,review,12,rCWrxuRC8_pfagpchtHp6A
KR89_v-jKxf4_l8h8k4jyQ,0,2016-02-18,0,tIYatLVAVGhW2kum5WX5AA,4,review,0,k4rXLpIAZFNwxmgK2WcGxw
KR89_v-jKxf4_l8h8k4jyQ,0,2016-05-17,0,ZytfmkmGJ8fyvKY8nPbTag,5,review,0,6Ki3bAL0wx9ymbdJqbSWMA
KR89_v-jKxf4_l8h8k4jyQ,0,2010-10-12,0,cLM3N5KJ9brBjMOh5W95MA,2,review,2,5sPUDsdIxNNGfjsLrdLuCA
KR89_v-jKxf4_l8h8k4jyQ,0,2012-09-01,0,Dj8x1VXsZkv8b8fjLJycEg,2,review,2,_fpHwIiEJOp79qED9YSE7Q
KR89_v-jKxf4_l8h8k4jyQ,15,2015-02-04,13,TmVvGp_Vt5ySxSFQwurMkA,3,review,20,135DbbQnr3BEkQbBzZ9T1A
KR89_v-jKxf4_l8h8k4jyQ,0,2013-07-05,0,B69gYmXzvue0UputC7orcg,1,review,0,DjIarehCJnfZXO8jogcu9w
KR89_v-jKxf4_l8h8k4jyQ,0,2011-04-02,0,OaK13ru-ovztPyzll4qyUw,4,review,1,BTKtAXjPHjH5B3xuT4uiIw
KR89_v-jKxf4_l8h8k4jyQ,0,2012-02-23,0,uz9aemgxWcMn9sZnZzIi3g,3,review,0,WoKCLSctS7G2547xKcED-Q
KR89_v-jKxf4_l8h8k4jyQ,0,2015-10-09,0,xv6HPelgkFAOJEKRPBl7lQ,4,review,0,X9cfPE9t2xoF92CU601MiQ
KR89_v-jKxf4_l8h8k4jyQ,0,2015-06-23,0,6E1zmCxisjPb9M1wzhaU8g,4,review,1,TDOF4SZAh7MsFgfshOL66A
KR89_v-jKxf4_l8h8k4jyQ,2,2015-02-18,0,CCElvoou9EA0ugozMYMubQ,3,review,0,M9TjYmTgHayJ22cNkyvW_g
U9KR7K5cdKy5kOr7UsG6EA,0,2012-12-11,0,DuXa9ISYyddHK8tbz_848g,5,review,2,B7aR8VlLMGzaJ7NHC-jeMQ
U9KR7K5cdKy5kOr7UsG6EA,3,2013-01-24,2,EfhCDX7vMYCdt0DvmkGfQA,4,review,2,3DltS5Wr9MOntnc8StBFBA
U9KR7K5cdKy5kOr7UsG6EA,0,2012-05-07,0,8PwtorAJ_sEGSwCcnpcP0A,5,review,0,Xwc-oEjXn_aRZR4bhCm0kw
